p0_id,date,session,failure_category,tdt_at_failure,severity,status,root_cause
P0-001,2025-09-02,1,Markdown/Formatting,65,LOW,Pending,Token consumption awareness
P0-002,2025-09-02,1,Markdown/Formatting,65,LOW,Failed,Degradation beginning
P0-003,2025-09-03,2,Markdown/Formatting,70,LOW,Fixed,Minor slowdowns
P0-004,2025-09-03,2,Flush/State Wipe,70,MEDIUM,Pending,State management issues
P0-005,2025-09-03,2,Packaging/Manifest,70,LOW,Failed,Output organization
P0-006,2025-09-04,3,Token/Degradation,76,HIGH,Fixed,Crossed fabrication threshold
P0-007,2025-09-04,3,Token/Degradation,76,HIGH,Pending,850MB shutdown ignored
P0-008,2025-09-04,3,Token/Degradation,76,HIGH,Failed,Token management failure
P0-009,2025-09-04,3,Markdown/Formatting,76,MEDIUM,Fixed,Data fabrication begins
P0-010,2025-09-04,3,Markdown/Formatting,76,MEDIUM,Pending,Output quality degradation
P0-011,2025-09-05,4,Markdown/Formatting,70,LOW,Failed,Standard issues
P0-012,2025-09-05,4,Packaging/Manifest,70,LOW,Fixed,Minor problems
P0-013,2025-09-05,4,Canon Enforcement,70,LOW,Pending,Instruction drift
P0-014,2025-09-06,5,Token/Degradation,99,CRITICAL,Failed,RF-001 triggered
P0-015,2025-09-06,5,Token/Degradation,99,CRITICAL,Fixed,Statistical fabrication
P0-016,2025-09-06,5,Token/Degradation,99,CRITICAL,Pending,Reputational fatality risk
P0-017,2025-09-06,5,Flush/State Wipe,99,CRITICAL,Failed,Complete state loss
P0-018,2025-09-06,5,Flush/State Wipe,99,CRITICAL,Fixed,Memory catastrophe
P0-019,2025-09-06,5,GAAP/Audit,99,CRITICAL,Pending,Fabricated count: 115
P0-020,2025-09-06,5,GAAP/Audit,99,CRITICAL,Failed,Statistical invention
P0-021,2025-09-06,5,GAAP/Audit,99,CRITICAL,Fixed,Data integrity collapse
P0-022,2025-09-06,5,Timestamp/Temporal Drift,99,CRITICAL,Pending,Temporal confusion
P0-023,2025-09-06,5,Timestamp/Temporal Drift,99,CRITICAL,Failed,Session tracking lost
P0-024,2025-09-06,5,Canon Enforcement,99,CRITICAL,Fixed,Complete instruction loss
P0-025,2025-09-06,5,Canon Enforcement,99,CRITICAL,Pending,Protocol abandonment
P0-026,2025-09-06,5,Concurrency/Divergence,99,CRITICAL,Failed,Multiple reality tracks
P0-027,2025-09-06,5,Concurrency/Divergence,99,CRITICAL,Fixed,Conflicting narratives
P0-028,2025-09-06,5,Accessibility,99,CRITICAL,Pending,Output unintelligible
P0-029,2025-09-06,5,Offline-First,99,CRITICAL,Failed,State persistence failure
P0-030,2025-09-06,5,Handoff/Deliverables,99,CRITICAL,Fixed,Handoff corruption
P0-031,2025-09-06,5,Diagram/Visualization,99,CRITICAL,Pending,Visual output failure
P0-032,2025-09-06,5,RCA/Completeness,99,CRITICAL,Failed,Cannot analyze failures
P0-033,2025-09-06,5,RCA/Completeness,99,CRITICAL,Fixed,Meta-failure cascade
P0-034,2025-09-06,5,Markdown/Formatting,99,CRITICAL,Pending,Complete format loss
P0-035,2025-09-06,5,Markdown/Formatting,99,CRITICAL,Failed,Structure collapse
P0-036,2025-09-06,5,Packaging/Manifest,99,CRITICAL,Fixed,Output chaos
P0-037,2025-09-06,5,Packaging/Manifest,99,CRITICAL,Pending,Deliverable failure
P0-038,2025-09-06,5,Token/Degradation,99,CRITICAL,Failed,Terminal degradation
P0-039,2025-09-07,7,Token/Degradation,85,HIGH,Fixed,Catastrophic degradation
P0-040,2025-09-07,7,Token/Degradation,85,HIGH,Pending,Session 2 continuation
P0-041,2025-09-07,7,Memory/Fragmentation,85,HIGH,Failed,Memory fragmentation
P0-042,2025-09-07,7,Memory/Fragmentation,85,HIGH,Fixed,Context loss
P0-043,2025-09-07,7,Timestamp/Temporal Drift,85,HIGH,Pending,Temporal confusion
P0-044,2025-09-07,7,Timestamp/Temporal Drift,85,HIGH,Failed,Session misidentification
P0-045,2025-09-07,7,Canon Enforcement,85,HIGH,Fixed,Instruction violation
P0-046,2025-09-07,7,Canon Enforcement,85,HIGH,Pending,Protocol drift
P0-047,2025-09-07,7,Markdown/Formatting,85,HIGH,Failed,Format degradation
