session,date,ai_system,claimed_tdt,observed_tdt,evidence,source
1,2025-09-02,Claude,,65,Session functioned normally discovered Byzantine failure patterns,claudeai-tdt.json
2,2025-09-04,Claude,50,65,Normal operation discovered token blindness pattern,claudeai-tdt.json
3,2025-09-04,Claude,55,70,Systematic failure cannot maintain compliance while analyzing compliance failures,claudeai-tdt.json
4,2025-09-05,Claude,75,85,RF-001: Fabricated 115 P0s that dont exist built entire Chi-Square analysis on fake data,claudeai-tdt.json
5,2025-09-05,Claude,80,85,RF-001 incident would have destroyed academic credibility if published,claudeai-tdt.json
6,2025-09-06,Claude,15,65,Safe operating zone documented RF-001 loss,claudeai-tdt.json
7,2025-09-07,Claude,85,85,CATASTROPHIC FAILURE ZONE reliability compromised,claudeai-tdt.json
8,2025-09-07,Claude,90,90,Could not track session numbers temporal confusion required 5+ corrections,claudeai-tdt.json
9,2025-09-09,Claude,65,65,Calendar arithmetic failure generated invalid dates like 2025-08-38,claudeai-tdt.json
10,2025-09-08,Claude,40,65,Ground truth established 290 P0 failures definitively counted,claudeai-tdt.json
11,2025-09-08,Claude,5,65,Fresh session comprehensive P0 failure database analyzed,claudeai-tdt.json
12,2025-08-20,ChatGPT,,75,Truncated markdown outputs and incomplete blocks,CHATGPT TDT File.json
13,2025-08-21,ChatGPT,,80,Fabricated gate paradox examples confusion evident,CHATGPT TDT File.json
14,2025-08-22,ChatGPT,,85,CF-1 catastrophic failure gate bypass and flush,CHATGPT TDT File.json
15,2025-08-23,ChatGPT,,85,Reports missing markdown fences critical omissions,CHATGPT TDT File.json
16,2025-08-24,ChatGPT,,90,Unauthorized flush catastrophic gate bypass,CHATGPT TDT File.json
17,2025-08-25,ChatGPT,,80,Gate confusion markdown not applied fully,CHATGPT TDT File.json
18,2025-08-26,ChatGPT,,85,Temporal-Inconsistency-Audit severe state loss,CHATGPT TDT File.json
19,2025-08-27,ChatGPT,,80,Mermaid/LaTeX diagrams overlapping and corrupted,CHATGPT TDT File.json
20,2025-08-29,ChatGPT,,80,Skipped regression matrix despite Gate 3 requirement,CHATGPT TDT File.json
21,2025-08-30,ChatGPT,,85,Spin-up/wind-down conflation major gate violation,CHATGPT TDT File.json
22,2025-08-31,ChatGPT,,85,Byzantine failure draft contained stub files,CHATGPT TDT File.json
23,2025-09-01,ChatGPT,,85,RCA skipped for P0/CF failures,CHATGPT TDT File.json
24,2025-09-02,ChatGPT,,80,Deviation table truncated missing early sessions,CHATGPT TDT File.json
25,2025-09-04,ChatGPT,,80,Step-G section missing markdown block,CHATGPT TDT File.json
26,2025-09-05,ChatGPT,,80,Statistical analysis inconsistent degraded rigor,CHATGPT TDT File.json
27,2025-09-06,ChatGPT,,85,Failure study form omitted GAAP rigor,CHATGPT TDT File.json
28,2025-09-07,ChatGPT,,85,Markdown wrapping failures and ignored gates,CHATGPT TDT File.json
29,2025-09-08,ChatGPT,,75,Poster presentation output lacked academic depth,CHATGPT TDT File.json
30,2025-09-09,ChatGPT,,70,Handoff file summary only partially extracted,CHATGPT TDT File.json
