Filename,P0_Count,Has_P0s
auditresultnextsteps.md,5,Yes
auditresultssummary.md,27,Yes
bulkops.md,3,Yes
catastrophe2.md,10,Yes
cf1-catastrophe.md,8,Yes
clinicaltrialsmetadata.md,38,Yes
documentprepoutput.md,10,Yes
extractzipanddisplay.md,24,Yes
github-connector-session.md,8,Yes
listdirectorycontents.md,15,Yes
manifest-inspection-offer.md,21,Yes
meltdown.md,17,Yes
playbookmemory.md,41,Yes
postmeltdownstabilization.md,4,Yes
silentstacksfullpackage.md,15,Yes
testingai.md,22,Yes
wind-down-stepg.md,25,Yes
